className,familyName,Candidates,1993 species,2010 species
AVES,ACROCEPHALIDAE,1,0,0
AVES,ALCEDINIDAE,1,1,1
AVES,ANATIDAE,2,0,0
AVES,APTERYGIDAE,1,0,0
AVES,CALLAEIDAE,1,0,0
AVES,CAMPEPHAGIDAE,1,1,1
AVES,CATHARTIDAE,1,1,0
AVES,CHARADRIIDAE,1,1,1
AVES,COLUMBIDAE,2,2,1
AVES,CORVIDAE,2,2,2
AVES,CRACIDAE,2,2,1
AVES,LARIDAE,1,0,0
AVES,MONARCHIDAE,3,3,2
AVES,MUSCICAPIDAE,1,1,0
AVES,OTIDIDAE,1,0,0
AVES,PASSERELLIDAE,2,2,0
AVES,PROCELLARIIDAE,3,2,0
AVES,PSITTACIDAE,9,7,4
AVES,RALLIDAE,1,1,1
AVES,RECURVIROSTRIDAE,1,1,1
AVES,SCOLOPACIDAE,1,0,0
AVES,STURNIDAE,1,1,1
AVES,THAMNOPHILIDAE,1,1,1
AVES,THRAUPIDAE,1,1,1
AVES,THRESKIORNITHIDAE,2,2,0
AVES,TROGLODYTIDAE,1,0,0
AVES,TURDIDAE,1,0,0
MAMMALIA,BOVIDAE,1,1,1
MAMMALIA,CALLITRICHIDAE,2,0,0
MAMMALIA,CANIDAE,1,1,1
MAMMALIA,CERCOPITHECIDAE,2,1,1
MAMMALIA,CERVIDAE,2,1,1
MAMMALIA,EQUIDAE,1,1,0
MAMMALIA,FELIDAE,1,1,0
MAMMALIA,HYLOBATIDAE,2,2,0
MAMMALIA,LEPORIDAE,1,0,0
MAMMALIA,MACROPODIDAE,2,0,0
MAMMALIA,MUSTELIDAE,1,1,1
MAMMALIA,PHOCOENIDAE,1,1,1
MAMMALIA,POTOROIDAE,1,1,0
MAMMALIA,RHINOCEROTIDAE,2,1,1
MAMMALIA,SCIURIDAE,2,2,0
MAMMALIA,SUIDAE,1,1,0
MAMMALIA,VOMBATIDAE,1,1,0
